Gene,description
K07233,copper resistance protein B
K07234,uncharacterized protein involved in response to NO
K07235,tRNA 2-thiouridine synthesizing protein D [EC:2.8.1.-]
K07236,tRNA 2-thiouridine synthesizing protein C
K07237,tRNA 2-thiouridine synthesizing protein B
K07238,"zinc transporter, ZIP family"
K07240,chromate transporter
K07241,nickel/cobalt transporter (NiCoT) family protein
K07242,putative multicomponent Na+:H+ antiporter subunit B
K07243,high-affinity iron transporter
K07244,mgtE-like transporter
K07245,copper resistance protein D
K07246,tartrate dehydrogenase/decarboxylase / D-malate dehydrogenase [EC:1.1.1.93 4.1.1.73 1.1.1.83]
K07248,lactaldehyde dehydrogenase / glycolaldehyde dehydrogenase [EC:1.2.1.22 1.2.1.21]
K07250,4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase [EC:2.6.1.19 2.6.1.22 2.6.1.48]
K07251,thiamine kinase [EC:2.7.1.89]
K07252,dolichyldiphosphatase [EC:3.6.1.43]
K07253,phenylpyruvate tautomerase [EC:5.3.2.1]
K07254,tRNA (cytidine56-2--O)-methyltransferase [EC:2.1.1.206]
K07257,spore coat polysaccharide biosynthesis protein SpsF
K07258,serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]
K07259,serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4) [EC:3.4.16.4 3.4.21.-]
K07260,zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]
K07261,penicillin-insensitive murein DD-endopeptidase [EC:3.4.24.-]
K07262,serine-type D-Ala-D-Ala endopeptidase (penicillin-binding protein 7) [EC:3.4.21.-]
K07263,zinc protease [EC:3.4.24.-]
K07264,4-amino-4-deoxy-L-arabinose transferase [EC:2.4.2.43]
K07265,capsular polysaccharide export protein
K07266,capsular polysaccharide export protein
K07267,porin
K07270,"glycosyl transferase, family 25"
K07271,lipopolysaccharide cholinephosphotransferase [EC:2.7.8.-]
K07273,lysozyme
K07274,MipA family protein
K07275,outer membrane protein
K07276,uncharacterized protein
K07277,outer membrane protein insertion porin family
K07278,translocation and assembly module TamA
K07279,autotransporter family porin
K07280,outer membrane protein
K07281,1L-myo-inositol 1-phosphate cytidylyltransferase [EC:2.7.7.74]
K07283,putative salt-induced outer membrane protein
K07284,sortase A [EC:3.4.22.70]
K07285,outer membrane lipoprotein
K07286,uncharacterized lipoprotein
K07287,outer membrane protein assembly factor BamC
K07289,AsmA protein
K07290,AsmA family protein
K07297,adiponectin receptor
K07300,Ca2+:H+ antiporter
K07301,cation:H+ antiporter
K07302,isoquinoline 1-oxidoreductase subunit alpha [EC:1.3.99.16]
K07303,isoquinoline 1-oxidoreductase subunit beta [EC:1.3.99.16]
K07304,peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]
K07305,peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]
K07306,anaerobic dimethyl sulfoxide reductase subunit A [EC:1.8.5.3]
K07307,anaerobic dimethyl sulfoxide reductase subunit B
K07308,anaerobic dimethyl sulfoxide reductase subunit C
K07313,serine/threonine protein phosphatase 1 [EC:3.1.3.16]
K07315,phosphoserine phosphatase RsbU/P [EC:3.1.3.3]
K07316,adenine-specific DNA-methyltransferase [EC:2.1.1.72]
K07317,adenine-specific DNA-methyltransferase [EC:2.1.1.72]
K07318,adenine-specific DNA-methyltransferase [EC:2.1.1.72]
K07319,adenine-specific DNA-methyltransferase [EC:2.1.1.72]
K07320,ribosomal protein L3 glutamine methyltransferase [EC:2.1.1.298]
K07321,CO dehydrogenase maturation factor
K07322,regulator of cell morphogenesis and NO signaling
K07323,phospholipid transport system substrate-binding protein
K07325,archaeal flagellin FlaB
K07326,hemolysin activation/secretion protein
K07330,archaeal flagellar protein FlaG
K07331,archaeal flagellar protein FlaH
K07332,archaeal flagellar protein FlaI
K07333,archaeal flagellar protein FlaJ
K07334,toxin HigB-1
K07335,basic membrane protein A and related proteins
K07336,PKHD-type hydroxylase [EC:1.14.11.-]
K07337,penicillin-binding protein activator
K07338,uncharacterized protein
K07339,mRNA interferase HicA [EC:3.1.-.-]
K07340,inner membrane protein
K07341,death on curing protein
K07342,protein transport protein SEC61 subunit gamma and related proteins
K07343,DNA transformation protein and related proteins
K07344,type IV secretion system protein TrbL
K07346,fimbrial chaperone protein
K07374,tubulin alpha
K07375,tubulin beta
K07386,putative endopeptidase [EC:3.4.24.-]
K07387,metalloprotease [EC:3.4.24.-]
K07389,cytolysin-activating lysine-acyltransferase [EC:2.3.1.-]
K07390,monothiol glutaredoxin
K07391,magnesium chelatase family protein
K07393,glutathionyl-hydroquinone reductase [EC:1.8.5.7]
K07394,SM-20-related protein
K07395,putative proteasome-type protease
K07396,putative protein-disulfide isomerase
K07397,putative redox protein
K07398,conserved protein with predicted RNA binding PUA domain
K07399,cytochrome c biogenesis protein
K07400,Fe/S biogenesis protein NfuA
K07401,selenoprotein W-related protein
K07402,xanthine dehydrogenase accessory factor
K07403,membrane-bound serine protease (ClpP class)
K07404,6-phosphogluconolactonase [EC:3.1.1.31]
K07405,alpha-amylase [EC:3.2.1.1]
K07406,alpha-galactosidase [EC:3.2.1.22]
K07407,alpha-galactosidase [EC:3.2.1.22]
K07432,"beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.141]"
K07441,"beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.141]"
K07442,tRNA (adenine57-N1/adenine58-N1)-methyltransferase catalytic subunit [EC:2.1.1.219 2.1.1.220]
K07443,methylated-DNA-protein-cysteine methyltransferase related protein
K07444,putative N6-adenine-specific DNA methylase [EC:2.1.1.-]
K07445,putative DNA methylase
K07446,tRNA (guanine10-N2)-dimethyltransferase [EC:2.1.1.213]
K07447,putative holliday junction resolvase [EC:3.1.-.-]
K07448,restriction system protein
K07450,putative resolvase
K07451,5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]
K07452,5-methylcytosine-specific restriction enzyme B [EC:3.1.21.-]
K07453,putative restriction endonuclease
K07454,putative restriction endonuclease
K07455,recombination protein RecT
K07456,DNA mismatch repair protein MutS2
K07457,endonuclease III related protein
K07458,"DNA mismatch endonuclease, patch repair protein [EC:3.1.-.-]"
K07459,putative ATP-dependent endonuclease of the OLD family
K07460,putative endonuclease
K07461,putative endonuclease
K07462,single-stranded-DNA-specific exonuclease [EC:3.1.-.-]
K07463,archaea-specific RecJ-like exonuclease
K07464,CRISPR-associated exonuclease Cas4 [EC:3.1.12.1]
K07465,putative RecB family exonuclease
K07466,replication factor A1
K07467,phage replication initiation protein
K07469,aldehyde oxidoreductase [EC:1.2.99.7]
K07473,DNA-damage-inducible protein J
K07474,phage terminase small subunit
K07477,translin
K07478,putative ATPase
K07479,putative DNA topoisomerase
K07480,insertion element IS1 protein InsB
K07481,"transposase, IS5 family"
K07482,"transposase, IS30 family"
K07483,transposase
K07484,transposase
K07485,transposase
K07486,transposase
K07487,transposase
K07488,transposase
K07491,putative transposase
K07492,putative transposase
K07493,putative transposase
K07494,putative transposase
K07495,putative transposase
K07496,putative transposase
K07497,putative transposase
K07498,putative transposase
K07499,putative transposase
K07501,3--5- exonuclease
K07502,uncharacterized protein
K07503,endonuclease [EC:3.1.-.-]
K07504,predicted type IV restriction endonuclease
K07505,regulatory protein RepA
K07506,AraC family transcriptional regulator
K07507,putative Mg2+ transporter-C (MgtC) family protein
K07508,acetyl-CoA acyltransferase 2 [EC:2.3.1.16]
K07509,acetyl-CoA acyltransferase [EC:2.3.1.16]
K07511,enoyl-CoA hydratase [EC:4.2.1.17]
K07512,mitochondrial enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase [EC:1.3.1.- 1.3.1.38]
K07513,acetyl-CoA acyltransferase 1 [EC:2.3.1.16]
K07516,3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
K07517,Delta3-Delta2-enoyl-CoA isomerase [EC:5.3.3.8]
K07535,2-hydroxycyclohexanecarboxyl-CoA dehydrogenase [EC:1.1.1.-]
K07536,2-ketocyclohexanecarboxyl-CoA hydrolase [EC:3.1.2.-]
K07537,"cyclohexa-1,5-dienecarbonyl-CoA hydratase [EC:4.2.1.100]"
K07543,benzylsuccinate CoA-transferase BbsE subunit [EC:2.8.3.15]
K07544,benzylsuccinate CoA-transferase BbsF subunit [EC:2.8.3.15]
K07546,E-phenylitaconyl-CoA hydratase [EC:4.2.1.-]
K07552,"MFS transporter, DHA1 family, multidrug resistance protein"
K07556,ATP synthase mitochondrial F1 complex assembly factor 2
K07558,tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72]
K07559,putative RNA 2--phosphotransferase [EC:2.7.1.-]
K07560,D-aminoacyl-tRNA deacylase [EC:3.1.1.96]
K07561,2-(3-amino-3-carboxypropyl)histidine synthase [EC:2.5.1.108]
K07562,nonsense-mediated mRNA decay protein 3
K07566,L-threonylcarbamoyladenylate synthase [EC:2.7.7.87]
K07568,S-adenosylmethionine:tRNA ribosyltransferase-isomerase [EC:2.4.99.17]
K07569,RNA-binding protein
K07572,putative nucleotide binding protein
K07573,exosome complex component CSL4
K07574,RNA-binding protein
K07575,malignant T-cell-amplified sequence
K07576,metallo-beta-lactamase family protein
K07577,putative mRNA 3-end processing factor
K07580,Zn-ribbon RNA-binding protein
K07581,RNA-binding protein
K07583,tRNA pseudouridine synthase 10 [EC:5.4.99.25]
K07586,uncharacterized protein
K07588,LAO/AO transport system kinase [EC:2.7.-.-]
K07589,"D-erythro-7,8-dihydroneopterin triphosphate epimerase [EC:5.1.99.7]"
K07636,"two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]"
K07637,"two-component system, OmpR family, sensor histidine kinase PhoQ [EC:2.7.13.3]"
K07638,"two-component system, OmpR family, osmolarity sensor histidine kinase EnvZ [EC:2.7.13.3]"
K07639,"two-component system, OmpR family, sensor histidine kinase RstB [EC:2.7.13.3]"
K07640,"two-component system, OmpR family, sensor histidine kinase CpxA [EC:2.7.13.3]"
K07641,"two-component system, OmpR family, sensor histidine kinase CreC [EC:2.7.13.3]"
K07642,"two-component system, OmpR family, sensor histidine kinase BaeS [EC:2.7.13.3]"
K07644,"two-component system, OmpR family, heavy metal sensor histidine kinase CusS [EC:2.7.13.3]"
K07645,"two-component system, OmpR family, sensor histidine kinase QseC [EC:2.7.13.3]"
K07646,"two-component system, OmpR family, sensor histidine kinase KdpD [EC:2.7.13.3]"
K07647,"two-component system, OmpR family, sensor histidine kinase TorS [EC:2.7.13.3]"
K07648,"two-component system, OmpR family, aerobic respiration control sensor histidine kinase ArcB [EC:2.7.13.3]"
K07649,"two-component system, OmpR family, sensor histidine kinase TctE [EC:2.7.13.3]"
K07653,"two-component system, OmpR family, sensor histidine kinase MprB [EC:2.7.13.3]"
K07654,"two-component system, OmpR family, sensor histidine kinase MtrB [EC:2.7.13.3]"
K07655,"two-component system, OmpR family, sensor histidine kinase PrrB [EC:2.7.13.3]"
K07657,"two-component system, OmpR family, phosphate regulon response regulator PhoB"
K07659,"two-component system, OmpR family, phosphate regulon response regulator OmpR"
K07660,"two-component system, OmpR family, response regulator PhoP"
K07661,"two-component system, OmpR family, response regulator RstA"
K07662,"two-component system, OmpR family, response regulator CpxR"
K07663,"two-component system, OmpR family, catabolic regulation response regulator CreB"
K07664,"two-component system, OmpR family, response regulator BaeR"
K07665,"two-component system, OmpR family, copper resistance phosphate regulon response regulator CusR"
K07666,"two-component system, OmpR family, response regulator QseB"
K07667,"two-component system, OmpR family, KDP operon response regulator KdpE"
K07669,"two-component system, OmpR family, response regulator MprA"
K07670,"two-component system, OmpR family, response regulator MtrA"
K07671,"two-component system, OmpR family, response regulator PrrA"
K07673,"two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarX [EC:2.7.13.3]"
K07675,"two-component system, NarL family, sensor histidine kinase UhpB [EC:2.7.13.3]"
K07678,"two-component system, NarL family, sensor histidine kinase BarA [EC:2.7.13.3]"
K07679,"two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]"
K07682,"two-component system, NarL family, sensor histidine kinase DevS [EC:2.7.13.3]"
K07684,"two-component system, NarL family, nitrate/nitrite response regulator NarL"
K07687,"two-component system, NarL family, captular synthesis response regulator RcsB"
K07689,"two-component system, NarL family, invasion response regulator UvrY"
K07693,"two-component system, NarL family, response regulator DesR"
K07695,"two-component system, NarL family, response regulator DevR"
K07696,"two-component system, NarL family, response regulator NreC"
K07705,"two-component system, LytTR family, response regulator LytT"
K07708,"two-component system, NtrC family, nitrogen regulation sensor histidine kinase GlnL [EC:2.7.13.3]"
K07711,"two-component system, NtrC family, sensor histidine kinase GlrK [EC:2.7.13.3]"
K07712,"two-component system, NtrC family, nitrogen regulation response regulator GlnG"
K07713,"two-component system, NtrC family, response regulator HydG"
K07714,"two-component system, NtrC family, response regulator AtoC"
K07715,"two-component system, NtrC family, response regulator GlrR"
K07716,"two-component system, cell cycle sensor histidine kinase PleC [EC:2.7.13.3]"
K07720,"two-component system, response regulator YesN"
K07721,ArsR family transcriptional regulator
K07722,"CopG family transcriptional regulator, nickel-responsive regulator"
K07724,Ner family transcriptional regulator
K07725,CRISPR-associated protein Csa3
K07726,putative transcriptional regulator
K07727,putative transcriptional regulator
K07729,putative transcriptional regulator
K07732,"riboflavin kinase, archaea type [EC:2.7.1.161]"
K07733,prophage regulatory protein
K07734,transcriptional regulator
K07735,putative transcriptional regulator
K07736,CarD family transcriptional regulator
K07738,transcriptional repressor NrdR
K07739,elongator complex protein 3 [EC:2.3.1.48]
K07740,regulator of sigma D
K07741,anti-repressor protein
K07742,uncharacterized protein
K07743,transcriptional regulator
K07746,antitoxin ParD1/3/4
K07749,formyl-CoA transferase [EC:2.8.3.16]
K07751,PepB aminopeptidase [EC:3.4.11.23]
K07753,peroxisomal trans-2-enoyl-CoA reductase [EC:1.3.1.38]
K07755,arsenite methyltransferase [EC:2.1.1.137]
K07766,diphosphoinositol-polyphosphate diphosphatase [EC:3.6.1.52]
K07768,"two-component system, OmpR family, sensor histidine kinase SenX3 [EC:2.7.13.3]"
K07769,"two-component system, OmpR family, sensor histidine kinase NblS [EC:2.7.13.3]"
K07772,"two-component system, OmpR family, torCAD operon response regulator TorR"
K07773,"two-component system, OmpR family, aerobic respiration control protein ArcA"
K07775,"two-component system, OmpR family, response regulator ResD"
K07776,"two-component system, OmpR family, response regulator RegX3"
K07777,"two-component system, NarL family, sensor histidine kinase DegS [EC:2.7.13.3]"
K07778,"two-component system, NarL family, sensor histidine kinase DesK [EC:2.7.13.3]"
K07783,"MFS transporter, OPA family, sugar phosphate sensor protein UhpC"
K07787,copper/silver efflux system protein
K07788,multidrug efflux pump
K07789,multidrug efflux pump
K07791,anaerobic C4-dicarboxylate transporter DcuA
K07793,putative tricarboxylic transport membrane protein
K07794,putative tricarboxylic transport membrane protein
K07795,putative tricarboxylic transport membrane protein
K07798,"membrane fusion protein, copper/silver efflux system"
K07799,"membrane fusion protein, multidrug efflux system"
K07806,UDP-4-amino-4-deoxy-L-arabinose-oxoglutarate aminotransferase [EC:2.6.1.87]
K07807,uncharacterized protein
K07810,Cu(I)/Ag(I) efflux system periplasmic protein CusF
K07814,putative two-component system response regulator
K07816,putative GTP pyrophosphokinase [EC:2.7.6.5]
K07823,3-oxoadipyl-CoA thiolase [EC:2.3.1.174]
K07862,serine/threonine transporter
K07915,Ras-related protein Rab-28
K07936,GTP-binding nuclear protein Ran
K07942,ADP-ribosylation factor-like protein 1
K07953,GTP-binding protein SAR1 [EC:3.6.5.-]
K07978,GntR family transcriptional regulator
K07979,GntR family transcriptional regulator
K07991,archaeal preflagellin peptidase FlaK [EC:3.4.23.52]
K08064,"nuclear transcription factor Y, alpha"
K08065,nuclear transcription Y subunit beta
K08066,"nuclear transcription factor Y, gamma"
K08068,UDP-N-acetylglucosamine 2-epimerase (hydrolysing) [EC:3.2.1.183]
K08073,bifunctional polynucleotide phosphatase/kinase [EC:3.1.3.32 2.7.1.78]
K08080,CMP-N-acetylneuraminate monooxygenase [EC:1.14.18.2]
K08082,"two-component system, LytTR family, sensor histidine kinase AlgZ [EC:2.7.13.3]"
K08083,"two-component system, LytTR family, response regulator AlgR"
K08084,type IV fimbrial biogenesis protein FimT
K08086,pilus assembly protein FimV
K08092,3-dehydro-L-gulonate 2-dehydrogenase [EC:1.1.1.130]
K08093,3-hexulose-6-phosphate synthase [EC:4.1.2.43]
K08094,6-phospho-3-hexuloisomerase [EC:5.3.1.27]
K08096,GTP cyclohydrolase IIa [EC:3.5.4.29]
K08097,phosphosulfolactate synthase [EC:4.4.1.19]
K08137,"MFS transporter, SP family, galactose:H+ symporter"
K08138,"MFS transporter, SP family, xylose:H+ symportor"
K08139,"MFS transporter, SP family, sugar:H+ symporter"
K08151,"MFS transporter, DHA1 family, tetracycline resistance protein"
K08152,"MFS transporter, DHA1 family, multidrug resistance protein B"
K08154,"MFS transporter, DHA1 family, 2-module integral membrane pump EmrD"
K08159,"MFS transporter, DHA1 family, L-arabinose/isopropyl-beta-D-thiogalactopyranoside export protein"
K08161,"MFS transporter, DHA1 family, multidrug resistance protein"
K08166,"MFS transporter, DHA2 family, methylenomycin A resistance protein"
K08167,"MFS transporter, DHA2 family, multidrug resistance protein"
K08168,"MFS transporter, DHA2 family, metal-tetracycline-proton antiporter"
K08169,"MFS transporter, DHA2 family, multidrug resistance protein"
K08172,"MFS transporter, MHS family, shikimate and dehydroshikimate transport protein"
K08174,"MFS transporter, FHS family, glucose/mannose:H+ symporter"
K08175,"MFS transporter, FHS family, Na+ dependent glucose transporter 1"
K08177,"MFS transporter, OFA family, oxalate/formate antiporter"
K08178,"MFS transporter, SHS family, lactate transporter"
K08191,"MFS transporter, ACS family, hexuronate transporter"
K08194,"MFS transporter, ACS family, D-galactonate transporter"
K08195,"MFS transporter, AAHS family, 4-hydroxybenzoate transporter"
K08217,"MFS transporter, DHA3 family, macrolide efflux protein"
K08218,"MFS transporter, PAT family, beta-lactamase induction signal transducer AmpG"
K08221,"MFS transporter, ACDE family, multidrug resistance protein"
K08223,"MFS transporter, FSR family, fosmidomycin resistance protein"
K08224,"MFS transporter, YNFM family, putative membrane transport protein"
K08225,"MFS transporter, ENTS family, enterobactin (siderophore) exporter"
K08226,"MFS transporter, BCD family, chlorophyll transporter"
K08227,"MFS transporter, LPLT family, lysophospholipid transporter"
K08234,glyoxylase I family protein
K08246,cycloeucalenol cycloisomerase [EC:5.5.1.9]
K08253,non-specific protein-tyrosine kinase [EC:2.7.10.2]
K08256,phosphatidyl-myo-inositol alpha-mannosyltransferase [EC:2.4.1.345]
K08264,heterodisulfide reductase subunit D [EC:1.8.98.1]
K08276,ecotin
K08281,nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-]
K08288,protein kinase C substrate 80K-H
K08289,phosphoribosylglycinamide formyltransferase 2 [EC:2.1.2.2]
K08295,2-aminobenzoate-CoA ligase [EC:6.2.1.32]
K08296,phosphohistidine phosphatase [EC:3.1.3.-]
K08299,crotonobetainyl-CoA hydratase [EC:4.2.1.149]
K08300,ribonuclease E [EC:3.1.26.12]
K08301,ribonuclease G [EC:3.1.26.-]
K08303,U32 family peptidase [EC:3.4.-.-]
K08304,membrane-bound lytic murein transglycosylase A [EC:4.2.2.-]
K08305,membrane-bound lytic murein transglycosylase B [EC:4.2.2.-]
K08306,membrane-bound lytic murein transglycosylase C [EC:4.2.2.-]
K08307,membrane-bound lytic murein transglycosylase D [EC:4.2.2.-]
K08309,soluble lytic murein transglycosylase [EC:4.2.2.-]
K08310,dihydroneopterin triphosphate diphosphatase [EC:3.6.1.67]
K08311,putative (di)nucleoside polyphosphate hydrolase [EC:3.6.1.-]
K08312,ADP-ribose diphosphatase [EC:3.6.1.-]
K08316,16S rRNA (guanine966-N2)-methyltransferase [EC:2.1.1.171]
K08318,4-hydroxybutyrate dehydrogenase / sulfolactaldehyde 3-reductase [EC:1.1.1.61 1.1.1.373]
K08319,L-threonate 2-dehydrogenase [EC:1.1.1.411]
K08320,(d)CTP diphosphatase [EC:3.6.1.65]
K08321,"3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase [EC:2.3.1.245]"
K08322,L-gulonate 5-dehydrogenase [EC:1.1.1.380]
K08323,mannonate dehydratase [EC:4.2.1.8]
K08325,NADP-dependent alcohol dehydrogenase [EC:1.1.-.-]
K08334,beclin
K08341,GABA(A) receptor-associated protein
K08344,suppressor for copper-sensitivity B
K08351,biotin/methionine sulfoxide reductase [EC:1.-.-.-]
K08352,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5]
K08355,arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1]
K08356,arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1]
K08358,tetrathionate reductase subunit B
K08363,mercuric ion transport protein
K08364,periplasmic mercuric ion binding protein
K08365,"MerR family transcriptional regulator, mercuric resistance operon regulatory protein"
K08368,"MFS transporter, putative metabolite transport protein"
K08369,"MFS transporter, putative metabolite:H+ symporter"
K08372,putative serine protease PepD [EC:3.4.21.-]
K08436,G protein-coupled receptor 152
K08471,gustatory receptor
K08478,phosphoglycerate transport regulatory protein PgtC
K08479,"two-component system, OmpR family, clock-associated histidine kinase SasA [EC:2.7.13.3]"
K08481,circadian clock protein KaiB
K08482,circadian clock protein KaiC
K08483,phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I) [EC:2.7.3.9]
K08484,"phosphotransferase system, enzyme I, PtsP [EC:2.7.3.9]"
K08485,phosphocarrier protein NPr
K08493,vesicle transport through interaction with t-SNAREs 1
K08495,golgi SNAP receptor complex member 1
K08516,synaptobrevin homolog YKT6
K08568,cathepsin X [EC:3.4.18.1]
K08591,acyl phosphate:glycerol-3-phosphate acyltransferase [EC:2.3.1.275]
K08592,sentrin-specific protease 1 [EC:3.4.22.68]
K08602,oligoendopeptidase F [EC:3.4.24.-]
K08604,vibriolysin [EC:3.4.24.25]
K08640,zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]
K08641,zinc D-Ala-D-Ala dipeptidase [EC:3.4.13.22]
K08642,LasA protease [EC:3.4.24.-]
K08646,peptidyl-Lys metalloendopeptidase [EC:3.4.24.20]
K08651,thermitase [EC:3.4.21.66]
K08659,dipeptidase [EC:3.4.-.-]
K08676,tricorn protease [EC:3.4.21.-]
K08678,UDP-glucuronate decarboxylase [EC:4.1.1.35]
K08679,UDP-glucuronate 4-epimerase [EC:5.1.3.6]
K08680,"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase [EC:4.2.99.20]"
K08681,pyridoxal 5--phosphate synthase pdxT subunit [EC:4.3.3.6]
K08682,acyl carrier protein phosphodiesterase [EC:3.1.4.14]
K08683,3-hydroxyacyl-CoA dehydrogenase / 3-hydroxy-2-methylbutyryl-CoA dehydrogenase [EC:1.1.1.35 1.1.1.178]
K08685,quinohemoprotein amine dehydrogenase [EC:1.4.9.1]
K08688,creatinase [EC:3.5.3.3]
K08691,malyl-CoA/(S)-citramalyl-CoA lyase [EC:4.1.3.24 4.1.3.25]
K08692,malate-CoA ligase subunit alpha [EC:6.2.1.9]
K08700,carbon dioxide concentrating mechanism protein CcmO
K08713,potassium channel LctB
K08714,voltage-gated sodium channel
K08715,inward rectifier potassium channel
K08717,urea transporter
K08722,5--deoxynucleotidase [EC:3.1.3.89]
K08723,5--nucleotidase [EC:3.1.3.5]
K08726,soluble epoxide hydrolase / lipid-phosphate phosphatase [EC:3.3.2.10 3.1.3.76]
K08736,DNA mismatch repair protein MSH3
K08738,cytochrome c
K08744,cardiolipin synthase (CMP-forming) [EC:2.7.8.41]
K08745,"solute carrier family 27 (fatty acid transporter), member 1/4 [EC:6.2.1.-]"
K08764,sterol carrier protein 2 [EC:2.3.1.176]
K08770,ubiquitin C
K08776,puromycin-sensitive aminopeptidase [EC:3.4.11.-]
K08789,microtubule-associated serine/threonine kinase [EC:2.7.11.1]
K08832,serine/threonine-protein kinase SRPK3 [EC:2.7.11.1]
K08851,TP53 regulating kinase and related kinases [EC:2.7.11.1]
K08863,polo-like kinase 4 [EC:2.7.11.21]
K08866,serine/threonine-protein kinase TTK/MPS1 [EC:2.7.12.1]
K08869,aarF domain-containing kinase
K08900,mitochondrial chaperone BCS1
K08902,photosystem II Psb27 protein
K08903,photosystem II 13kDa protein
K08906,cytochrome c6
K08926,light-harvesting complex 1 alpha chain
K08927,light-harvesting complex 1 beta chain
K08928,photosynthetic reaction center L subunit
K08929,photosynthetic reaction center M subunit
K08956,AFG3 family protein [EC:3.4.24.-]
K08961,chondroitin-sulfate-ABC endolyase/exolyase [EC:4.2.2.20 4.2.2.21]
K08963,methylthioribose-1-phosphate isomerase [EC:5.3.1.23]
K08964,methylthioribulose-1-phosphate dehydratase [EC:4.2.1.109]
K08966,2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase [EC:3.1.3.87]
K08967,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase [EC:1.13.11.53 1.13.11.54]"
K08968,L-methionine (R)-S-oxide reductase [EC:1.8.4.14]
K08970,nickel/cobalt transporter (NicO) family protein
K08971,putative membrane protein
K08972,putative membrane protein
K08973,protoporphyrinogen IX oxidase [EC:1.3.99.-]
K08974,putative membrane protein
K08975,putative membrane protein
K08976,putative membrane protein
K08978,bacterial/archaeal transporter family protein
K08979,putative membrane protein
K08981,putative membrane protein
K08982,putative membrane protein
K08983,putative membrane protein
K08984,putative membrane protein
K08985,putative lipoprotein
K08986,putative membrane protein
K08987,putative membrane protein
K08988,putative membrane protein
K08989,putative membrane protein
K08990,putative membrane protein
K08991,crossover junction endonuclease MUS81 [EC:3.1.22.-]
K08992,lipopolysaccharide assembly protein A
K08993,putative membrane protein
K08994,ion channel-forming bestrophin family protein
K08995,putative membrane protein
K08996,putative membrane protein
K08997,serine/tyrosine/threonine adenylyltransferase [EC:2.7.7.-]
K08998,uncharacterized protein
K08999,uncharacterized protein
K09000,CRISPR-associated protein Cmr4
K09001,anhydro-N-acetylmuramic acid kinase [EC:2.7.1.170]
K09002,CRISPR-associated protein Csm3
K09003,uncharacterized protein
K09004,uncharacterized protein
K09005,uncharacterized protein
K09007,GTP cyclohydrolase IB [EC:3.5.4.16]
K09008,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3
K09009,uncharacterized protein
K09011,(R)-citramalate synthase [EC:2.3.1.182]
K09012,"DeoR family transcriptional regulator, suf operon transcriptional repressor"
K09013,Fe-S cluster assembly ATP-binding protein
K09014,Fe-S cluster assembly protein SufB
K09015,Fe-S cluster assembly protein SufD
K09016,putative pyrimidine permease RutG
K09017,TetR/AcrR family transcriptional regulator
K09018,pyrimidine oxygenase [EC:1.14.99.46]
K09019,3-hydroxypropanoate dehydrogenase [EC:1.1.1.-]
K09020,ureidoacrylate peracid hydrolase [EC:3.5.1.110]
K09021,aminoacrylate peracid reductase
K09022,2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]
K09023,aminoacrylate hydrolase [EC:3.5.1.-]
K09024,flavin reductase [EC:1.5.1.-]
K09065,N-acetylornithine carbamoyltransferase [EC:2.1.3.9]
K09116,"damage-control phosphatase, subfamily I [EC:3.1.3.-]"
K09117,uncharacterized protein
K09118,uncharacterized protein
K09120,uncharacterized protein
K09121,"pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel chelatase [EC:4.99.1.12]"
K09122,uncharacterized protein
K09123,cis-L-3-hydroxyproline dehydratase [EC:4.2.1.171]
K09124,uncharacterized protein
K09125,queuosine precursor transporter
K09127,CRISPR-associated protein Cmr3
K09128,uncharacterized protein
K09129,uncharacterized protein
K09131,uncharacterized protein
